logdensity,dataset,model
-1.44827477688564,in-sample,functional
-1.4747377759034,in-sample,functional
-1.50155448518329,in-sample,functional
-1.42712946694206,in-sample,functional
-1.48774844696311,in-sample,functional
-1.45313050455789,in-sample,functional
-1.52218523727591,in-sample,functional
-1.51355475182541,in-sample,functional
-1.43950265540667,in-sample,functional
-1.43394104561892,in-sample,functional
-1.49001833658849,in-sample,functional
-1.47593924182853,in-sample,functional
-1.46880706763426,in-sample,functional
-1.50153193974235,in-sample,functional
-1.46235313277789,in-sample,functional
-1.44962542326259,in-sample,functional
-1.47694291054885,in-sample,functional
-1.4314267207261,in-sample,functional
-1.50140873450325,in-sample,functional
-1.50752269609003,in-sample,functional
-1.48945421478059,in-sample,functional
-1.48815652151588,in-sample,functional
-1.47121294316241,in-sample,functional
-1.48974873318716,in-sample,functional
-1.44506548228475,in-sample,functional
